"Taxon","Source","Year","Country","Region","Accession","Latitude","Longitude","Elevation","Dish","Scarification","GA3","Stratification","Stratification_temperature","Stratification_days","Light","Photoperiod","Alternating","Tdif","Tmax","Tmin","Tmean","Temperature","Length.experiment","Sown","Germinated","Germinable"
"Epacris glacials","Venn",NA,"Australia","Australian Alps","Australia Single -36.429806 148.344167","-36.429806",148.344167,"1770","1","N","N","None",NA,"0","Y",12,"N",0,8.5,8.5,8.5,"10C",NA,20,0,20
"Epacris glacials","Venn",NA,"Australia","Australian Alps","Australia Single -36.429806 148.344167","-36.429806",148.344167,"1770","2","N","N","None",NA,"0","Y",12,"N",0,13.7,13.7,13.7,"15C",NA,20,0,20
"Epacris glacials","Venn",NA,"Australia","Australian Alps","Australia Single -36.429806 148.344167","-36.429806",148.344167,"1770","3","N","N","None",NA,"0","Y",12,"N",0,18.4,18.4,18.4,"20C",NA,20,0,20
"Epacris glacials","Venn",NA,"Australia","Australian Alps","Australia Single -36.429806 148.344167","-36.429806",148.344167,"1770","4","N","N","None",NA,"0","Y",12,"N",0,22.5,22.5,22.5,"20C",NA,20,0,20
"Epacris glacials","Venn",NA,"Australia","Australian Alps","Australia Single -36.429806 148.344167","-36.429806",148.344167,"1770","5","N","N","None",NA,"0","Y",12,"N",0,26.7,26.7,26.7,"25C",NA,20,0,20
"Epacris glacials","Venn",NA,"Australia","Australian Alps","Australia Single -36.429806 148.344167","-36.429806",148.344167,"1770","6","N","N","None",NA,"0","Y",12,"N",0,30.88,30.88,30.88,"30C",NA,20,0,20
"Epacris glacials","Venn",NA,"Australia","Australian Alps","Australia Single -36.429806 148.344167","-36.429806",148.344167,"1770","7","N","N","None",NA,"0","Y",12,"N",0,8.5,8.5,8.5,"10C",NA,20,0,20
"Epacris glacials","Venn",NA,"Australia","Australian Alps","Australia Single -36.429806 148.344167","-36.429806",148.344167,"1770","8","N","N","None",NA,"0","Y",12,"N",0,13.7,13.7,13.7,"15C",NA,20,0,20
"Epacris glacials","Venn",NA,"Australia","Australian Alps","Australia Single -36.429806 148.344167","-36.429806",148.344167,"1770","9","N","N","None",NA,"0","Y",12,"N",0,18.4,18.4,18.4,"20C",NA,20,0,20
"Epacris glacials","Venn",NA,"Australia","Australian Alps","Australia Single -36.429806 148.344167","-36.429806",148.344167,"1770","10","N","N","None",NA,"0","Y",12,"N",0,22.5,22.5,22.5,"20C",NA,20,0,20
"Epacris glacials","Venn",NA,"Australia","Australian Alps","Australia Single -36.429806 148.344167","-36.429806",148.344167,"1770","11","N","N","None",NA,"0","Y",12,"N",0,26.7,26.7,26.7,"25C",NA,20,0,20
"Epacris glacials","Venn",NA,"Australia","Australian Alps","Australia Single -36.429806 148.344167","-36.429806",148.344167,"1770","12","N","N","None",NA,"0","Y",12,"N",0,30.88,30.88,30.88,"30C",NA,20,0,19
"Epacris glacials","Venn",NA,"Australia","Australian Alps","Australia Single -36.429806 148.344167","-36.429806",148.344167,"1770","13","N","N","None",NA,"0","Y",12,"N",0,8.5,8.5,8.5,"10C",NA,20,0,20
"Epacris glacials","Venn",NA,"Australia","Australian Alps","Australia Single -36.429806 148.344167","-36.429806",148.344167,"1770","14","N","N","None",NA,"0","Y",12,"N",0,13.7,13.7,13.7,"15C",NA,20,0,19
